player,match,year,age,winrate,playerrank
Vitas Gerulaitis,1,1973.25,18.5,40,25
Vitas Gerulaitis,17,1973.75,19,41.18,25
Vitas Gerulaitis,46,1974.25,19.5,54.35,25
Vitas Gerulaitis,54,1974.75,20,55.56,25
Vitas Gerulaitis,103,1975.25,20.5,65.05,25
Vitas Gerulaitis,118,1975.75,21,66.1,25
Vitas Gerulaitis,141,1976.25,21.5,63.83,25
Vitas Gerulaitis,163,1976.75,22,64.42,25
Vitas Gerulaitis,193,1977.25,22.5,64.77,25
Vitas Gerulaitis,219,1977.75,23,66.67,25
Vitas Gerulaitis,272,1978.25,23.5,69.12,25
Vitas Gerulaitis,304,1978.75,24,70.39,25
Vitas Gerulaitis,332,1979.25,24.5,70.48,25
Vitas Gerulaitis,381,1979.75,25,71.13,25
Vitas Gerulaitis,412,1980.25,25.5,70.87,25
Vitas Gerulaitis,452,1980.75,26,71.68,25
Vitas Gerulaitis,481,1981.25,26.5,71.52,25
Vitas Gerulaitis,512,1981.75,27,71.29,25
Vitas Gerulaitis,556,1982.25,27.5,71.76,25
Vitas Gerulaitis,593,1982.75,28,72.34,25
Vitas Gerulaitis,622,1983.25,28.5,72.67,25
Vitas Gerulaitis,646,1983.75,29,71.98,25
Vitas Gerulaitis,682,1984.25,29.5,71.55,25
Vitas Gerulaitis,704,1984.75,30,71.16,25
Vitas Gerulaitis,731,1985.25,30.5,70.86,25
Vitas Gerulaitis,745,1985.75,31,70.34,25
Eddie Dibbs,1,1973,21.25,60,24
Eddie Dibbs,9,1973.25,21.5,77.78,24
Eddie Dibbs,40,1973.75,22,65,24
Eddie Dibbs,74,1974.25,22.5,67.57,24
Eddie Dibbs,125,1974.75,23,68,24
Eddie Dibbs,151,1975.25,23.5,66.23,24
Eddie Dibbs,189,1975.75,24,66.67,24
Eddie Dibbs,242,1976.25,24.5,69.01,24
Eddie Dibbs,300,1976.75,25,70.33,24
Eddie Dibbs,350,1977.25,25.5,70.86,24
Eddie Dibbs,402,1977.75,26,70.9,24
Eddie Dibbs,461,1978.25,26.5,71.15,24
Eddie Dibbs,528,1978.75,27,72.54,24
Eddie Dibbs,559,1979.25,27.5,71.74,24
Eddie Dibbs,614,1979.75,28,72.15,24
Eddie Dibbs,653,1980.25,28.5,71.98,24
Eddie Dibbs,693,1980.75,29,72.15,24
Eddie Dibbs,716,1981.25,29.5,71.79,24
Eddie Dibbs,741,1981.75,30,71.79,24
Eddie Dibbs,764,1982.25,30.5,71.73,24
Eddie Dibbs,789,1982.75,31,71.61,24
Eddie Dibbs,804,1983.25,31.5,71.14,24
Eddie Dibbs,824,1984.25,32.5,70.87,24
Lleyton Hewitt,1,1997.5,15.75,60,23
Lleyton Hewitt,2,1997.75,16,50,23
Lleyton Hewitt,14,1998.25,16.5,57.14,23
Lleyton Hewitt,29,1998.75,17,48.28,23
Lleyton Hewitt,61,1999.25,17.5,62.3,23
Lleyton Hewitt,91,1999.75,18,65.93,23
Lleyton Hewitt,134,2000.25,18.5,70.15,23
Lleyton Hewitt,172,2000.75,19,70.35,23
Lleyton Hewitt,216,2001.25,19.5,71.3,23
Lleyton Hewitt,267,2001.75,20,73.41,23
Lleyton Hewitt,301,2002.25,20.5,74.42,23
Lleyton Hewitt,350,2002.75,21,75.14,23
Lleyton Hewitt,379,2003.25,21.5,75.73,23
Lleyton Hewitt,408,2003.75,22,75.49,23
Lleyton Hewitt,429,2004.25,22.5,75.99,23
Lleyton Hewitt,484,2004.75,23,76.45,23
Lleyton Hewitt,518,2005.25,23.5,76.64,23
Lleyton Hewitt,564,2006.25,24.5,76.06,23
Lleyton Hewitt,607,2007.25,25.5,75.45,23
Lleyton Hewitt,641,2007.75,26,75.35,23
Lleyton Hewitt,661,2008.25,26.5,74.89,23
Lleyton Hewitt,691,2009.25,27.5,74.24,23
Lleyton Hewitt,723,2009.75,28,74,23
Lleyton Hewitt,735,2010.25,28.5,73.88,23
Lleyton Hewitt,771,2011.25,29.5,73.28,23
Lleyton Hewitt,789,2012.25,30.5,72.62,23
Lleyton Hewitt,807,2012.75,31,72.12,23
Lleyton Hewitt,826,2013.25,31.5,71.67,23
Lleyton Hewitt,853,2013.75,32,71.4,23
Lleyton Hewitt,871,2014.25,32.5,71.07,23
Ken Rosewall,1,1972.75,38,60,22
Ken Rosewall,23,1973.25,38.5,69.57,22
Ken Rosewall,61,1973.75,39,77.05,22
Ken Rosewall,78,1974.25,39.5,79.49,22
Ken Rosewall,92,1974.75,40,80.43,22
Ken Rosewall,116,1975.25,40.5,81.03,22
Ken Rosewall,139,1975.75,41,82.01,22
Ken Rosewall,177,1976.25,41.5,78.53,22
Ken Rosewall,193,1976.75,42,77.2,22
Ken Rosewall,226,1977.25,42.5,76.11,22
Ken Rosewall,246,1977.75,43,74.8,22
Ken Rosewall,275,1978.25,43.5,73.82,22
Ken Rosewall,289,1978.75,44,71.97,22
Ken Rosewall,306,1979.25,44.5,71.57,22
Ken Rosewall,307,1979.75,45,71.66,22
Ken Rosewall,315,1980.75,46,71.11,22
Jose-Luis Clerc,1,1977.5,18.75,40,21
Jose-Luis Clerc,2,1977.75,19,50,21
Jose-Luis Clerc,5,1978.25,19.5,40,21
Jose-Luis Clerc,53,1978.75,20,71.7,21
Jose-Luis Clerc,74,1979.25,20.5,71.62,21
Jose-Luis Clerc,136,1979.75,21,71.32,21
Jose-Luis Clerc,173,1980.25,21.5,71.68,21
Jose-Luis Clerc,224,1980.75,22,73.21,21
Jose-Luis Clerc,249,1981.25,22.5,72.29,21
Jose-Luis Clerc,303,1981.75,23,75.58,21
Jose-Luis Clerc,330,1982.25,23.5,74.55,21
Jose-Luis Clerc,389,1982.75,24,75.06,21
Jose-Luis Clerc,418,1983.25,24.5,74.4,21
Jose-Luis Clerc,459,1984.25,25.5,73.42,21
Jose-Luis Clerc,483,1984.75,26,72.46,21
Jose-Luis Clerc,491,1985.25,26.5,72.3,21
Jose-Luis Clerc,527,1985.75,27,71.73,21
Manuel Orantes,1,1973.25,23.5,100,20
Manuel Orantes,68,1973.75,24,80.88,20
Manuel Orantes,94,1974.25,24.5,70.21,20
