id,x,y,name,classname,region,toryvote,population,valgainprivrent,unitsperthouprivrent,valgainall,valgainallpc,aveval,wasparty,isparty,waspartynum,ispartynum,namelen
E14000792,25,30,Lincoln,Lincoln,East_Midlands,37.5,107697,331.1,108,330.6,5.8,116364,Con,Con,1,1,7
E14001057,16,18,Wyre and Preston North,Wyre_and_Preston_North,North_West_,52.4,88676,170.4,58,-479.9,-7,176547,Con,Con,1,1,22
S14000054,19,5,Perth and North Perthshire,Perth_and_North_Perthshire,Scotland,30.5,98280,136.4,83,363.5,4.9,156077,SNP,SNP,0,0,26
S14000013,17,10,Dumfries and Galloway,Dumfries_and_Galloway,Scotland,31.6,95416,-6.2,74,-153.8,-2.7,116792,Lab,Lab,0,0,21
W07000049,6,38,Aberavon,Aberavon,Wales,14.2,66349,51.2,64,-124.9,-4.4,91448,Lab,Lab,0,0,8
S14000001,18,3,Aberdeen North,Aberdeen_North,Scotland,12.4,100432,621,104,882.6,11.8,148831,Lab,Lab,0,0,14
S14000002,19,3,Aberdeen South,Aberdeen_South,Scotland,20.7,96414,685.7,112,942.5,10.2,191571,Lab,Lab,0,0,14
S14000058,18,4,West Aberdeenshire and Kincardine,West_Aberdeenshire_and_Kincardine,Scotland,30.3,94682,93.5,51,451.2,5.6,201368,LD,LD,0,0,33
E14000530,17,43,Aldershot,Aldershot,South_East,46.7,105099,425.3,76,1500.5,16.8,210146,Con,Con,1,1,9
W07000043,11,33,Alyn and Deeside,Alyn_and_Deeside,Wales,32.3,82739,128.1,59,11.7,0.2,137316,Lab,Lab,0,0,16
E14000814,21,30,Mid Derbyshire,Mid_Derbyshire,East_Midlands,48.3,84162,221.5,59,289.2,4.2,180341,Con,Con,1,1,14
E14000972,20,30,Stoke-on-Trent Central,Stoke-on-Trent_Central,West_Midlands,21,83852,78.1,99,-350.4,-12,76615,Lab,Lab,0,0,22
S14000004,19,4,Angus,Angus,Scotland,30.9,86316,200.9,74,596.5,11.1,129706,SNP,SNP,0,0,5
N06000005,10,23,East Antrim,East_Antrim,Northern_Ireland,0,89994,22.1,70,-901.9,-20,114557,DUP,DUP,0,0,11
N06000012,9,23,North Antrim,North_Antrim,Northern_Ireland,0,109460,35.2,79,-968.8,-22.7,94402,DUP,DUP,0,0,12
N06000014,8,24,South Antrim,South_Antrim,Northern_Ireland,0,100371,23.7,61,-1198.6,-24.5,122699,DUP,DUP,0,0,12
S14000005,16,3,Argyll and Bute,Argyll_and_Bute,Scotland,24,88050,-130.7,62,-686.8,-11.7,125991,LD,LD,0,0,15
E14000534,18,45,Arundel and South Downs,Arundel_and_South_Downs,South_East,57.8,97756,693.9,65,3039.6,19,365785,Con,Con,1,1,23
E14000536,30,48,Ashford,Ashford,South_East,54.1,115020,578.7,74,1862.9,17.4,222991,Con,Con,1,1,7
E14000538,16,40,Aylesbury,Aylesbury,South_East,52.2,110512,709,74,2853,23.8,260022,Con,Con,1,1,9
E14000539,15,39,Banbury,Banbury,South_East,52.8,118671,834.4,86,2722.2,21.9,248573,Con,Con,1,1,7
S14000007,19,2,Banff and Buchan,Banff_and_Buchan,Scotland,30.8,91662,74.9,45,409.2,5.6,174306,SNP,SNP,0,0,16
E14000543,17,18,Barrow and Furness,Barrow_and_Furness,North_West_,36.3,88111,99,76,-167.5,-3.3,118514,Lab,Lab,0,0,18
E14000544,30,38,Basildon and Billericay,Basildon_and_Billericay,East,52.7,90982,405.3,53,1511.2,17.1,229480,Con,Con,1,1,23
E14000545,15,43,Basingstoke,Basingstoke,South_East,50.5,110347,422,61,1741.1,18.4,202410,Con,Con,1,1,11
E14000546,23,27,Bassetlaw,Bassetlaw,East_Midlands,33.9,104064,200.6,71,280.8,4.9,124926,Lab,Lab,0,0,9
E14000547,9,44,Bath,Bath,South_West,31.4,90235,823.5,115,2043.9,17.4,293061,LD,LD,0,0,4
E14000550,18,40,Beaconsfield,Beaconsfield,South_East,61.1,100072,940.9,60,4687.6,21.6,516292,Con,Con,1,1,12
E14000552,20,39,Bedford,Bedford,East,38.9,101554,452.3,95,1193.4,16.3,163396,Con,Con,1,1,7
E14000813,19,39,Mid Bedfordshire,Mid_Bedfordshire,East,52.5,102063,480.9,64,1821.6,16.7,253659,Con,Con,1,1,16
