id,name,date,age,mins,played,G,NPG,maxG,maxNPG,G90,NPG90
1,Cristiano Ronaldo,2003-10-01,18.65,90,1,0,0,135,116,0.79,0.68
1,Cristiano Ronaldo,2003-11-04,18.743,180,2,0,0,135,116,0.79,0.68
1,Cristiano Ronaldo,2004-02-25,19.053,284,4,0,0,135,116,0.79,0.68
1,Cristiano Ronaldo,2004-09-15,19.608,382,6,0,0,135,116,0.79,0.68
1,Cristiano Ronaldo,2004-11-03,19.743,461,8,0,0,135,116,0.79,0.68
1,Cristiano Ronaldo,2004-12-08,19.838,641,10,0,0,135,116,0.79,0.68
1,Cristiano Ronaldo,2005-03-08,20.085,794,12,0,0,135,116,0.79,0.68
1,Cristiano Ronaldo,2005-09-14,20.605,941,14,1,1,135,116,0.79,0.68
1,Cristiano Ronaldo,2005-10-18,20.698,1121,16,1,1,135,116,0.79,0.68
1,Cristiano Ronaldo,2005-11-22,20.794,1300,18,1,1,135,116,0.79,0.68
1,Cristiano Ronaldo,2006-09-26,21.637,1457,20,1,1,135,116,0.79,0.68
1,Cristiano Ronaldo,2006-11-01,21.736,1637,22,1,1,135,116,0.79,0.68
1,Cristiano Ronaldo,2006-12-06,21.832,1817,24,1,1,135,116,0.79,0.68
1,Cristiano Ronaldo,2007-03-07,22.081,1966,26,1,1,135,116,0.79,0.68
1,Cristiano Ronaldo,2007-04-10,22.174,2146,28,3,3,135,116,0.79,0.68
1,Cristiano Ronaldo,2007-05-02,22.234,2326,30,4,4,135,116,0.79,0.68
1,Cristiano Ronaldo,2007-10-02,22.653,2503,32,5,5,135,116,0.79,0.68
1,Cristiano Ronaldo,2007-11-07,22.752,2683,34,8,7,135,116,0.79,0.68
1,Cristiano Ronaldo,2008-02-20,23.039,2863,36,9,8,135,116,0.79,0.68
1,Cristiano Ronaldo,2008-04-01,23.151,3043,38,11,10,135,116,0.79,0.68
1,Cristiano Ronaldo,2008-04-29,23.228,3223,40,11,10,135,116,0.79,0.68
1,Cristiano Ronaldo,2008-09-17,23.614,3371,42,12,11,135,116,0.79,0.68
1,Cristiano Ronaldo,2008-10-21,23.707,3543,44,12,11,135,116,0.79,0.68
1,Cristiano Ronaldo,2008-11-25,23.803,3723,46,12,11,135,116,0.79,0.68
1,Cristiano Ronaldo,2009-03-11,24.093,3903,48,13,12,135,116,0.79,0.68
1,Cristiano Ronaldo,2009-04-15,24.189,4083,50,14,13,135,116,0.79,0.68
1,Cristiano Ronaldo,2009-05-05,24.244,4263,52,16,15,135,116,0.79,0.68
1,Cristiano Ronaldo,2009-09-15,24.608,4443,54,18,17,135,116,0.79,0.68
1,Cristiano Ronaldo,2009-11-25,24.802,4532,56,20,19,135,116,0.79,0.68
1,Cristiano Ronaldo,2010-02-16,25.029,4712,58,22,21,135,116,0.79,0.68
1,Cristiano Ronaldo,2010-09-15,25.607,4892,60,23,22,135,116,0.79,0.68
1,Cristiano Ronaldo,2010-10-19,25.7,5072,62,24,23,135,116,0.79,0.68
1,Cristiano Ronaldo,2010-11-23,25.796,5252,64,26,24,135,116,0.79,0.68
1,Cristiano Ronaldo,2011-02-22,26.045,5415,66,27,25,135,116,0.79,0.68
1,Cristiano Ronaldo,2011-04-05,26.16,5579,68,28,26,135,116,0.79,0.68
1,Cristiano Ronaldo,2011-04-27,26.22,5734,70,29,27,135,116,0.79,0.68
1,Cristiano Ronaldo,2011-09-14,26.604,5914,72,29,27,135,116,0.79,0.68
1,Cristiano Ronaldo,2011-10-18,26.697,6094,74,30,28,135,116,0.79,0.68
1,Cristiano Ronaldo,2012-02-21,27.042,6274,76,33,30,135,116,0.79,0.68
1,Cristiano Ronaldo,2012-03-27,27.138,6454,78,35,32,135,116,0.79,0.68
1,Cristiano Ronaldo,2012-04-17,27.195,6634,80,37,34,135,116,0.79,0.68
1,Cristiano Ronaldo,2012-09-18,27.617,6844,82,40,36,135,116,0.79,0.68
1,Cristiano Ronaldo,2012-10-24,27.715,7024,84,44,40,135,116,0.79,0.68
