id,team,P,W,D,L,F,A,truPts,league,seasonEnd,tpfaw,PPG,pts38,FPG,F38,APG,A38,GD38,rankF,rankA,lengthF,lengthA,alphaF,alphaA
/teams/manchester-city/,Man City,38,32,4,2,106,27,100,eng-premier-league,2018,100,2.632,100,2.789,106,0.711,27,79,3.3473597672923376,1.7760713266575987,3.3473597672923376,1.7760713266575987,0.7312870011871417,0.8389054958382839
/teams/manchester-united/,Man United,38,25,6,7,68,28,81,eng-premier-league,2018,81,2.132,81,1.789,68,0.737,28,40,0.9637088350302159,1.7067776198785807,0.9637088350302159,1.7067776198785807,0.2523266510277784,0.8271890824779474
/teams/tottenham-hotspur/,Tottenham Hotspur,38,23,8,7,74,36,77,eng-premier-league,2018,77,2.026,77,1.947,74,0.947,36,38,1.3400747717031825,1.1524279656464365,1.3400747717031825,1.1524279656464365,0.31139923219438437,0.7364239561928084
/teams/liverpool-fc/,Liverpool,38,21,12,5,84,38,75,eng-premier-league,2018,75,1.974,75,2.211,84,1,38,46,1.9673513328247934,1.0138405520884004,1.9673513328247934,1.0138405520884004,0.4236474818717354,0.7145566136763996
/teams/chelsea-fc/,Chelsea,38,21,7,10,62,38,70,eng-premier-league,2018,70,1.842,70,1.632,62,1,38,24,0.5873428983572493,1.0138405520884004,0.5873428983572493,1.0138405520884004,0.1994613463410261,0.7145566136763996
/teams/arsenal-fc/,Arsenal,38,19,6,13,74,51,63,eng-premier-league,2018,63,1.658,63,1.947,74,1.342,51,23,1.3400747717031825,0.11302236396116604,1.3400747717031825,0.11302236396116604,0.31139923219438437,0.5804522931047835
/teams/burnley-fc/,Burnley,38,14,12,12,36,39,54,eng-premier-league,2018,54,1.421,54,0.947,36,1.026,39,-3,-1.0435761605589393,0.9445468453093824,-1.0435761605589393,0.9445468453093824,0.04210688757673963,0.7037465332764267
/teams/everton-fc/,Everton,38,13,10,15,44,58,49,eng-premier-league,2018,49,1.289,49,1.158,44,1.526,58,-14,-0.5417549116616505,-0.37203358349196014,-0.5417549116616505,-0.37203358349196014,0.07810909115989001,0.5140098477195838
/teams/leicester-city/,Leicester City,38,12,11,15,56,60,47,eng-premier-league,2018,47,1.237,47,1.474,56,1.579,60,-4,0.21097696168428268,-0.5106209970499962,0.21097696168428268,-0.5106209970499962,0.15280331813412723,0.49576783704462957
/teams/newcastle-united/,Newcastle United,38,12,8,18,39,47,44,eng-premier-league,2018,44,1.158,44,1.026,39,1.237,47,-8,-0.855393192222456,0.39019719107723816,-0.855393192222456,0.39019719107723816,0.05431453132045153,0.6202320706741963
/teams/crystal-palace/,Crystal Palace,38,11,11,16,45,55,44,eng-premier-league,2018,44,1.158,44,1.184,45,1.447,55,-10,-0.4790272555494894,-0.1641524631549061,-0.4790272555494894,-0.1641524631549061,0.08338527616776546,0.5419908180231724
/teams/afc-bournemouth/,Bournemouth,38,11,11,16,45,61,44,eng-premier-league,2018,44,1.158,44,1.184,45,1.605,61,-16,-0.4790272555494894,-0.5799147038290142,-0.4790272555494894,-0.5799147038290142,0.08338527616776546,0.48677042256538366
/teams/west-ham-united/,West Ham United,38,10,12,16,48,68,42,eng-premier-league,2018,42,1.105,42,1.263,48,1.789,68,-20,-0.2908442872130061,-1.0649706512821404,-0.2908442872130061,-1.0649706512821404,0.10024837727136751,0.426095550564316
/teams/watford-fc/,Watford,38,11,8,19,44,64,41,eng-premier-league,2018,41,1.079,41,1.158,44,1.684,64,-20,-0.5417549116616505,-0.7877958241660683,-0.5417549116616505,-0.7877958241660683,0.07810909115989001,0.460272542560572
/teams/brighton-hove-albion/,Brighton & Hove Albion,38,9,13,16,34,54,40,eng-premier-league,2018,40,1.053,40,0.895,34,1.421,54,-20,-1.1690314727832616,-0.09485875637588805,-1.1690314727832616,-0.09485875637588805,0.03483058014757801,0.5514825959353438
/teams/huddersfield-town/,Huddersfield Town,38,9,10,19,28,58,37,eng-premier-league,2018,37,0.974,37,0.737,28,1.526,58,-30,-1.5453974094562282,-0.37203358349196014,-1.5453974094562282,-0.37203358349196014,0.017139842179995514,0.5140098477195838
/teams/southampton-fc/,Southampton,38,7,15,16,37,56,36,eng-premier-league,2018,36,0.947,36,0.974,37,1.474,56,-19,-0.9808485044467782,-0.2334461699339241,-0.9808485044467782,-0.2334461699339241,0.046003677811314356,0.5325814340164886
/teams/swansea-city/,Swansea City,38,8,9,21,28,56,33,eng-premier-league,2018,33,0.868,33,0.737,28,1.474,56,-28,-1.5453974094562282,-0.2334461699339241,-1.5453974094562282,-0.2334461699339241,0.017139842179995514,0.5325814340164886
/teams/stoke-city/,Stoke City,38,7,12,19,35,68,33,eng-premier-league,2018,33,0.868,33,0.921,35,1.789,68,-33,-1.1063038166711003,-1.0649706512821404,-1.1063038166711003,-1.0649706512821404,0.03838252168882753,0.426095550564316
/teams/west-bromwich-albion/,West Bromwich Albion,38,6,13,19,31,56,31,eng-premier-league,2018,31,0.816,31,0.816,31,1.474,56,-25,-1.3572144411197449,-0.2334461699339241,-1.3572144411197449,-0.2334461699339241,0.025209301603805075,0.5325814340164886
/teams/chelsea-fc/,Chelsea,38,30,3,5,85,33,93,eng-premier-league,2017,93,2.447,93,2.237,85,0.868,33,52,2.0300789889369546,1.3603090859834905,2.0300789889369546,1.3603090859834905,0.4358206407461148,0.7698429242585783
/teams/tottenham-hotspur/,Tottenham Hotspur,38,26,8,4,86,26,86,eng-premier-league,2017,86,2.263,86,2.263,86,0.684,26,60,2.092806645049116,1.8453650334366167,2.092806645049116,1.8453650334366167,0.44816622396715666,0.8507043031041079
/teams/manchester-city/,Man City,38,23,9,6,80,39,78,eng-premier-league,2017,78,2.053,78,2.105,80,1.026,39,41,1.716440708376149,0.9445468453093824,1.716440708376149,0.9445468453093824,0.3766790898408438,0.7037465332764267
/teams/liverpool-fc/,Liverpool,38,22,10,6,78,42,76,eng-premier-league,2017,76,2,76,2.053,78,1.105,42,36,1.5909853961518268,0.7366657249723283,1.5909853961518268,0.7366657249723283,0.35422943990537376,0.6718106555094333
/teams/arsenal-fc/,Arsenal,38,23,6,9,77,44,75,eng-premier-league,2017,75,1.974,75,2.026,77,1.158,44,33,1.5282577400396657,0.5980783114142922,1.5282577400396657,0.5980783114142922,0.3432632514576324,0.6509320398588757
/teams/manchester-united/,Man United,38,18,15,5,54,29,69,eng-premier-league,2017,69,1.816,69,1.421,54,0.763,29,25,0.08552164945996048,1.6374839130995626,0.08552164945996048,1.6374839130995626,0.1386300368384617,0.8155550630230985
/teams/everton-fc/,Everton,38,17,10,11,62,44,61,eng-premier-league,2017,61,1.605,61,1.632,62,1.158,44,18,0.5873428983572493,0.5980783114142922,0.5873428983572493,0.5980783114142922,0.1994613463410261,0.6509320398588757
/teams/southampton-fc/,Southampton,38,12,10,16,41,48,46,eng-premier-league,2017,46,1.211,46,1.079,41,1.263,48,-7,-0.7299378799981338,0.32090348429822013,-0.7299378799981338,0.32090348429822013,0.06331508221623913,0.6101635354236118
/teams/afc-bournemouth/,Bournemouth,38,12,10,16,55,67,46,eng-premier-league,2017,46,1.211,46,1.447,55,1.763,67,-12,0.14824930557212157,-0.9956769445031224,0.14824930557212157,-0.9956769445031224,0.14563046531296317,0.4345162077051485
/teams/west-bromwich-albion/,West Bromwich Albion,38,12,9,17,43,51,45,eng-premier-league,2017,45,1.184,45,1.132,43,1.342,51,-8,-0.6044825677738116,0.11302236396116604,-0.6044825677738116,0.11302236396116604,0.07300533049867712,0.5804522931047835
/teams/west-ham-united/,West Ham United,38,12,9,17,47,64,45,eng-premier-league,2017,45,1.184,45,1.237,47,1.684,64,-17,-0.3535719433251672,-0.7877958241660683,-0.3535719433251672,-0.7877958241660683,0.09445491922350423,0.460272542560572
/teams/leicester-city/,Leicester City,38,12,8,18,48,63,44,eng-premier-league,2017,44,1.158,44,1.263,48,1.658,63,-15,-0.2908442872130061,-0.7185021173870503,-0.2908442872130061,-0.7185021173870503,0.10024837727136751,0.4690227753233549
/teams/stoke-city/,Stoke City,38,11,11,16,41,56,44,eng-premier-league,2017,44,1.158,44,1.079,41,1.474,56,-15,-0.7299378799981338,-0.2334461699339241,-0.7299378799981338,-0.2334461699339241,0.06331508221623913,0.5325814340164886
/teams/crystal-palace/,Crystal Palace,38,12,5,21,50,63,41,eng-premier-league,2017,41,1.079,41,1.316,50,1.658,63,-13,-0.1653889749886839,-0.7185021173870503,-0.1653889749886839,-0.7185021173870503,0.11235256640708183,0.4690227753233549
/teams/swansea-city/,Swansea City,38,12,5,21,45,70,41,eng-premier-league,2017,41,1.079,41,1.184,45,1.842,70,-25,-0.4790272555494894,-1.2035580648401765,-0.4790272555494894,-1.2035580648401765,0.08338527616776546,0.4095014179991134
/teams/burnley-fc/,Burnley,38,11,7,20,39,55,40,eng-premier-league,2017,40,1.053,40,1.026,39,1.447,55,-16,-0.855393192222456,-0.1641524631549061,-0.855393192222456,-0.1641524631549061,0.05431453132045153,0.5419908180231724
/teams/watford-fc/,Watford,38,11,7,20,40,68,40,eng-premier-league,2017,40,1.053,40,1.053,40,1.789,68,-28,-0.7926655361102949,-1.0649706512821404,-0.7926655361102949,-1.0649706512821404,0.05872859459501405,0.426095550564316
/teams/hull-city/,Hull City,38,9,7,22,37,80,34,eng-premier-league,2017,34,0.895,34,0.974,37,2.105,80,-43,-0.9808485044467782,-1.8964951326303567,-0.9808485044467782,-1.8964951326303567,0.046003677811314356,0.3314743895023573
/teams/middlesbrough-fc/,Middlesbrough,38,5,13,20,27,53,28,eng-premier-league,2017,28,0.737,28,0.711,27,1.395,53,-26,-1.6081250655683892,-0.02556504959687002,-1.6081250655683892,-0.02556504959687002,0.014794871065384187,0.5610567677530028
/teams/sunderland-afc/,Sunderland,38,6,6,26,29,69,24,eng-premier-league,2017,24,0.632,24,0.763,29,1.816,69,-40,-1.482669753344067,-1.1342643580611584,-1.482669753344067,-1.1342643580611584,0.019657237641269438,0.4177572873289709
/teams/leicester-city/,Leicester City,38,23,12,3,68,36,81,eng-premier-league,2016,81,2.132,81,1.789,68,0.947,36,32,0.9637088350302159,1.1524279656464365,0.9637088350302159,1.1524279656464365,0.2523266510277784,0.7364239561928084
/teams/arsenal-fc/,Arsenal,38,20,11,7,65,36,71,eng-premier-league,2016,71,1.868,71,1.711,65,0.947,36,29,0.7755258666937326,1.1524279656464365,0.7755258666937326,1.1524279656464365,0.22511808912442058,0.7364239561928084
/teams/tottenham-hotspur/,Tottenham Hotspur,38,19,13,6,69,35,70,eng-premier-league,2016,70,1.842,70,1.816,69,0.921,35,34,1.026436491142377,1.2217216724254545,1.026436491142377,1.2217216724254545,0.26174102035555635,0.7474812183092442
/teams/manchester-city/,Man City,38,19,9,10,71,41,66,eng-premier-league,2016,66,1.737,66,1.868,71,1.079,41,30,1.1518918033666992,0.8059594317513463,1.1518918033666992,0.8059594317513463,0.2810870320510997,0.6823735541929433
/teams/manchester-united/,Man United,38,19,9,10,49,35,66,eng-premier-league,2016,66,1.737,66,1.289,49,0.921,35,14,-0.228116631100845,1.2217216724254545,-0.228116631100845,1.2217216724254545,0.10621425966589339,0.7474812183092442
/teams/southampton-fc/,Southampton,38,18,9,11,59,41,63,eng-premier-league,2016,63,1.658,63,1.553,59,1.079,41,18,0.399159930020766,0.8059594317513463,0.399159930020766,0.8059594317513463,0.17535642267759496,0.6823735541929433
/teams/west-ham-united/,West Ham United,38,16,14,8,65,51,62,eng-premier-league,2016,62,1.632,62,1.711,65,1.342,51,14,0.7755258666937326,0.11302236396116604,0.7755258666937326,0.11302236396116604,0.22511808912442058,0.5804522931047835
/teams/liverpool-fc/,Liverpool,38,16,12,10,63,50,60,eng-premier-league,2016,60,1.579,60,1.658,63,1.316,50,13,0.6500705544694104,0.18231607074018408,0.6500705544694104,0.18231607074018408,0.20784116958882834,0.5902736466389052
/teams/stoke-city/,Stoke City,38,14,9,15,41,55,51,eng-premier-league,2016,51,1.342,51,1.079,41,1.447,55,-14,-0.7299378799981338,-0.1641524631549061,-0.7299378799981338,-0.1641524631549061,0.06331508221623913,0.5419908180231724
/teams/chelsea-fc/,Chelsea,38,12,14,12,59,53,50,eng-premier-league,2016,50,1.316,50,1.553,59,1.395,53,6,0.399159930020766,-0.02556504959687002,0.399159930020766,-0.02556504959687002,0.17535642267759496,0.5610567677530028
/teams/everton-fc/,Everton,38,11,14,13,59,55,47,eng-premier-league,2016,47,1.237,47,1.553,59,1.447,55,4,0.399159930020766,-0.1641524631549061,0.399159930020766,-0.1641524631549061,0.17535642267759496,0.5419908180231724
/teams/swansea-city/,Swansea City,38,12,11,15,42,52,47,eng-premier-league,2016,47,1.237,47,1.105,42,1.368,52,-10,-0.6672102238859727,0.04372865718214801,-0.6672102238859727,0.04372865718214801,0.06807399418412682,0.5707133334761495
/teams/watford-fc/,Watford,38,12,9,17,40,50,45,eng-premier-league,2016,45,1.184,45,1.053,40,1.316,50,-10,-0.7926655361102949,0.18231607074018408,-0.7926655361102949,0.18231607074018408,0.05872859459501405,0.5902736466389052
/teams/west-bromwich-albion/,West Bromwich Albion,38,10,13,15,34,48,43,eng-premier-league,2016,43,1.132,43,0.895,34,1.263,48,-14,-1.1690314727832616,0.32090348429822013,-1.1690314727832616,0.32090348429822013,0.03483058014757801,0.6101635354236118
/teams/crystal-palace/,Crystal Palace,38,11,9,18,39,51,42,eng-premier-league,2016,42,1.105,42,1.026,39,1.342,51,-12,-0.855393192222456,0.11302236396116604,-0.855393192222456,0.11302236396116604,0.05431453132045153,0.5804522931047835
/teams/afc-bournemouth/,Bournemouth,38,11,9,18,45,67,42,eng-premier-league,2016,42,1.105,42,1.184,45,1.763,67,-22,-0.4790272555494894,-0.9956769445031224,-0.4790272555494894,-0.9956769445031224,0.08338527616776546,0.4345162077051485
/teams/sunderland-afc/,Sunderland,38,9,12,17,48,62,39,eng-premier-league,2016,39,1.026,39,1.263,48,1.632,62,-14,-0.2908442872130061,-0.6492084106080322,-0.2908442872130061,-0.6492084106080322,0.10024837727136751,0.4778554019916254
/teams/newcastle-united/,Newcastle United,38,9,10,19,44,65,37,eng-premier-league,2016,37,0.974,37,1.158,44,1.711,65,-21,-0.5417549116616505,-0.8570895309450863,-0.5417549116616505,-0.8570895309450863,0.07810909115989001,0.4516047037032765
