"club","score","year","country","n","rank","allRank","atb","atw","eb","ew","tenth"
"ManUnited",1876,2001,"ENG",20,1,6,2031,1831,1927,1817,1858
"Liverpool",1876,2001,"ENG",20,2,5,2020,1826,1918,1761,1858
"Leeds",1843,2001,"ENG",20,3,11,1979,1793,1880,1751,1858
"Arsenal",1820,2001,"ENG",20,4,14,1946,1776,1868,1729,1858
"Chelsea",1794,2001,"ENG",20,5,18,1860,1738,1865,1700,1858
"Ipswich",1744,2001,"ENG",20,6,31,1830,1710,1840,1682,1858
"Sunderland",1732,2001,"ENG",20,7,34,1802,1688,1813,1680,1858
"AstonVilla",1725,2001,"ENG",20,8,42,1775,1667,1796,1673,1858
"Newcastle",1704,2001,"ENG",20,9,46,1765,1663,1792,1669,1858
"Middlesbrough",1699,2001,"ENG",20,10,49,1737,1661,1791,1665,1858
"Tottenham",1681,2001,"ENG",20,11,55,1726,1656,1777,1656,1858
"Southampton",1677,2001,"ENG",20,12,58,1724,1645,1769,1647,1858
"Charlton",1673,2001,"ENG",20,13,61,1723,1643,1756,1624,1858
"WestHam",1658,2001,"ENG",20,14,68,1717,1635,1755,1619,1858
"Everton",1656,2001,"ENG",20,15,70,1695,1614,1741,1602,1858
"Leicester",1642,2001,"ENG",20,16,78,1686,1597,1732,1599,1858
"Derby",1636,2001,"ENG",20,17,79,1681,1587,1731,1585,1858
"Coventry",1607,2001,"ENG",20,18,85,1672,1580,1705,1548,1858
"ManCity",1589,2001,"ENG",20,19,92,1671,1528,1700,1589,1858
"Bradford",1558,2001,"ENG",20,20,97,1604,1496,1686,1558,1858
"ManUnited",1891,2002,"ENG",20,1,4,2031,1831,1907,1777,1862
"Arsenal",1886,2002,"ENG",20,2,5,2020,1826,1904,1732,1862
"Liverpool",1877,2002,"ENG",20,3,7,1979,1793,1878,1726,1862
"Leeds",1783,2002,"ENG",20,4,18,1946,1776,1865,1723,1862
"Chelsea",1778,2002,"ENG",20,5,19,1860,1738,1816,1698,1862
"Newcastle",1768,2002,"ENG",20,6,23,1830,1710,1788,1691,1862
"AstonVilla",1688,2002,"ENG",20,7,50,1802,1688,1774,1679,1862
"WestHam",1682,2002,"ENG",20,8,53,1775,1667,1767,1661,1862
"Blackburn",1676,2002,"ENG",20,9,55,1765,1663,1766,1654,1862
"Tottenham",1676,2002,"ENG",20,10,56,1737,1661,1763,1649,1862
"Southampton",1674,2002,"ENG",20,11,58,1726,1656,1748,1648,1862
"Middlesbrough",1656,2002,"ENG",20,12,66,1724,1645,1744,1646,1862
"Charlton",1651,2002,"ENG",20,13,70,1723,1643,1743,1630,1862
"Ipswich",1643,2002,"ENG",20,14,74,1717,1635,1728,1625,1862
"Fulham",1640,2002,"ENG",20,15,76,1695,1614,1724,1608,1862
"Sunderland",1639,2002,"ENG",20,16,77,1686,1597,1716,1571,1862
"Everton",1636,2002,"ENG",20,17,78,1681,1587,1700,1564,1862
"Bolton",1601,2002,"ENG",20,18,89,1672,1580,1695,1532,1862
"Derby",1576,2002,"ENG",20,19,94,1671,1528,1687,1576,1862
"Leicester",1575,2002,"ENG",20,20,95,1604,1496,1655,1575,1862
"ManUnited",1923,2003,"ENG",20,1,1,2031,1831,1923,1730,1832
"Arsenal",1865,2003,"ENG",20,2,5,2020,1826,1868,1726,1832
"Liverpool",1793,2003,"ENG",20,3,16,1979,1793,1864,1715,1832
"Chelsea",1776,2003,"ENG",20,4,20,1946,1776,1844,1705,1832
"Newcastle",1768,2003,"ENG",20,5,21,1860,1738,1841,1701,1832
"Blackburn",1728,2003,"ENG",20,6,31,1830,1710,1821,1699,1832
"Leeds",1710,2003,"ENG",20,7,40,1802,1688,1784,1688,1832
"Southampton",1679,2003,"ENG",20,8,52,1775,1667,1781,1676,1832
"Everton",1676,2003,"ENG",20,9,55,1765,1663,1764,1668,1832
"Middlesbrough",1666,2003,"ENG",20,10,62,1737,1661,1762,1643,1832
"AstonVilla",1664,2003,"ENG",20,11,63,1726,1656,1759,1616,1832
"ManCity",1664,2003,"ENG",20,12,64,1724,1645,1745,1614,1832
"WestHam",1661,2003,"ENG",20,13,65,1723,1643,1744,1610,1832
"Fulham",1655,2003,"ENG",20,14,67,1717,1635,1740,1601,1832
"Bolton",1645,2003,"ENG",20,15,73,1695,1614,1735,1586,1832
