name,sA,rA,sC,rC,sG,rG,sH,rH
Rafael Nadal,67.239,42.343,66.193,46.455,70.511,36.869,67.229,40.463
Roger Federer,69.057,39.953,67.223,40.961,71.908,38.697,69.307,39.956
Novak Djokovic,66.725,41.723,64.617,42.849,69.19,39.02,67.021,41.813
Pete Sampras,69.4,38.025,64.699,38.207,72.929,37.274,69.682,37.738
Andre Agassi,65.868,41.711,63.017,43.657,66.983,38.605,66.277,41.633
Andy Roddick,71.081,35.944,67.625,38.029,72.652,34.17,71.322,35.89
Andy Murray,64.704,41.92,61.264,42.719,68.862,39.433,64.478,42.347
Stefan Edberg,64.818,41.263,61.578,40.763,66.094,40.893,65.461,41.285
Ivan Lendl,65.748,40.387,58.781,43.086,66.716,34.993,66.877,41.167
Juan Martin Del Potro,66.573,39.166,64.549,40.642,69.518,37.287,66.61,38.88
Jim Courier,66.312,39.379,65.083,42.276,65.978,36.468,66.667,39.015
Richard Krajicek,68.726,36.93,65.375,38.708,71.857,36.731,68.949,36.919
Michael Stich,66.871,38.321,64.103,40.41,70.698,37.13,67.075,37.725
Michael Chang,63.105,42.108,60.049,42.578,61.26,39.927,63.537,41.476
Lleyton Hewitt,64.05,41.129,59.812,42.667,67.401,40.139,64.137,40.9
Boris Becker,66.925,38.136,62.769,40.401,67.71,37.746,67.504,37.249
Tomas Berdych,66.704,38.457,64.353,39.672,70.162,35.523,66.912,38.353
Guillermo Coria,61.359,43.658,60.492,45.917,63.454,37.824,61.996,41.572
David Ferrer,62.605,42.206,61.49,44.1,66.262,38.821,63.026,41.471
Robin Soderling,66.546,38.03,63.98,39.902,67.009,34.577,67.788,37.238
Milos Raonic,70.492,34.242,67.891,35.76,74.703,31.979,71.088,33.313
Thomas Muster,62.874,41.576,62.264,44.1,63.04,34.091,63.967,38.928
Jo-Wilfried Tsonga,68.153,35.905,65.526,37.658,70.477,33.805,68.272,35.837
Patrick Rafter,66.54,37.601,63.634,37.719,68.666,37.67,66.817,38.075
Richard Gasquet,65.794,38.361,63.269,40.099,69.288,36.677,65.82,37.843
Todd Martin,66.134,37.948,63.802,40.209,67.965,37.772,66.414,37.485
Marcelo Rios,63.634,40.567,61.393,42.06,60.833,38.243,65.039,39.331
Aljaz Bedene,63.146,40.83,58.151,36.385,66.826,29.111,62.362,36.754
John McEnroe,64.572,39.343,60.743,37.197,67.997,37.382,63.647,40.238
Nikolay Davydenko,62.646,41.29,61.199,42.546,62.844,34.668,63.279,40.841
