"name","sA","rA","sC","rC","sG","rG","sH","rH"
"Rafael Nadal","67.3483","42.2458","66.2967","46.6367","70.5108","36.8694","67.5901","40.2208"
"Roger Federer","69.257","39.7059","66.991","40.7752","71.7373","38.5629","69.6598","39.7118"
"Novak Djokovic","66.8993","41.8593","64.9234","43.442","69.2691","39.1139","67.2686","41.8877"
"Pete Sampras","69.4604","38.0068","64.5626","38.1309","72.9613","37.1798","69.9866","38.367"
"Andy Roddick","71.2201","35.773","67.4199","38.244","72.6772","34.263","71.5008","35.9012"
"Andy Murray","64.7821","41.9491","61.6513","42.8134","69.0695","39.6514","64.6217","42.3497"
"Stefan Edberg","64.8922","41.2282","62.0768","41.8551","66.0936","40.8932","65.3278","41.838"
"Juan Martin Del Potro","66.5393","38.9992","64.5696","40.9075","69.3141","37.2896","66.609","38.7933"
"Jim Courier","66.3095","39.2863","64.8718","41.7628","65.7855","36.304","66.8708","39.6922"
"Michael Stich","66.8236","38.243","64.0004","40.3683","70.5925","36.6636","66.6751","38.4919"
"Lleyton Hewitt","64.0268","41.1005","59.909","42.7137","67.3814","40.0122","64.2459","41.0085"
"Tomas Berdych","66.7189","38.4622","64.6416","39.9031","70.0809","35.4791","66.9336","38.4804"
"Guillermo Coria","61.5303","43.5462","60.9178","45.4033","63.4538","37.8238","62.1628","42.1213"
"David Ferrer","62.7858","42.1374","61.5328","44.1885","66.214","38.9888","63.3174","41.1293"
"Robin Soderling","66.4636","37.8096","63.6755","40.3459","67.0086","34.5771","67.4693","37.2734"
"Milos Raonic","71.406","33.2853","68.3173","35.5269","74.9248","31.5987","71.88","32.8559"
"Thomas Muster","63.2129","41.8333","62.7994","44.4135","63.0397","34.0909","63.6201","38.9941"
"Jo-Wilfried Tsonga","68.0475","35.8614","65.3041","37.7132","70.673","33.2476","68.2973","35.925"
"Patrick Rafter","66.5329","37.5863","63.3673","38.0017","68.7297","37.6819","66.6413","37.8934"
"Richard Gasquet","65.8114","38.3178","63.5727","40.0237","69.2561","36.6038","66.0005","37.9892"
"Todd Martin","66.1686","37.8289","63.5246","39.3348","68.1679","37.6699","66.4817","37.7478"
"Aljaz Bedene","61.5937","35.6327","59.4303","36.7304","66.8258","29.1111","62.6286","36.0394"
"John McEnroe","64.4344","39.3987","60.2713","36.8217","67.4504","37.0056","63.8175","41.48"
"Nikolay Davydenko","61.5536","39.7295","60.0155","39.1607","62.8057","32.4288","62.0222","40.4448"
"David Goffin","61.2744","38.5849","60.7071","40.4916","63.1336","32.6025","61.2179","38.6515"
"Tim Henman","64.4415","39.1558","60.8911","40.1458","65.8271","39.2302","64.5337","39.2321"
"David Nalbandian","62.7275","40.2073","62.1302","40.6135","65.4762","38.1174","62.4486","40.4585"
"Kei Nishikori","63.3333","39.7233","63.257","42.1294","65.2939","37.073","63.0288","39.4715"
"Sergi Bruguera","61.9187","41.6061","62.2192","43.9274","60.8421","33.2574","61.8706","39.7174"
"Marin Cilic","65.2362","38.1641","63.5799","39.2595","67.0027","35.3885","65.6811","38.3733"
"Gustavo Kuerten","65.2774","38.0522","63.3694","41.4095","67.5421","33.77","66.5495","35.87"
"Guillaume Rufin","60.4883","35.7717","58.2531","36.4609","61.4267","34.6705","61.6999","35.7339"
"Pablo Cuevas","62.623","37.3337","62.9516","38.4454","61.2091","33.6022","62.0537","35.3187"
"Mario Ancic","58.6387","35.5191","53.4884","39.7059","0","0","60.1351","34.5638"
"Kevin Anderson","67.4787","34.7073","65.7148","35.5583","69.0253","33.4592","67.7787","34.6447"
"Tommy Haas","65.2965","37.7573","63.1059","39.3109","68.4886","34.2264","65.5529","37.9456"
"Goran Ivanisevic","67.9389","35.1391","63.1844","38.2816","72.785","33.1502","66.3521","35.0998"
"Juan Carlos Ferrero","64.1071","39.181","62.6164","43.0673","65.862","35.26","65.1446","36.2296"
"Federico Delbonis","63.3392","36.5241","64.1239","38.3232","63.285","25.6281","61.1056","32.2069"
"Guy Forget","66.8833","36.2325","60.7716","37.5605","69.1138","32.7575","67.5286","37.489"
"Nicolas Almagro","65.8353","37.3104","65.6329","39.3304","68.9655","31.2843","65.636","34.9867"
"Ricardas Berankis","62.6116","35.4081","61.4738","34.3647","66.4606","30.3406","62.4711","36.3495"
"Yevgeny Kafelnikov","63.1765","39.758","60.157","41.0135","65.0091","37.427","63.437","39.5727"
"Julian Reister","60.2821","36.2696","59.915","38.0242","62.6031","34.0594","57.0388","31.3559"
"Blaz Kavcic","58.7075","38.1539","57.3299","39.7407","58.5266","31.3779","59.7666","38.1715"
